	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DBI	8.124539e-176	 0.7301894	1.000	0.941	1.802104e-171	0	DBI
MT2A	2.782526e-127	 0.7334383	0.994	0.979	6.171920e-123	0	MT2A
MT3	1.175002e-126	 0.5323740	0.999	0.958	2.606272e-122	0	MT3
DBIP1	 8.183360e-92	 0.5413054	0.757	0.445	 1.815151e-87	0	DBIP1
MT2P1	 9.346562e-88	 0.5707179	0.774	0.533	 2.073161e-83	0	MT2P1
APOE	 1.670491e-79	-1.3342879	0.547	0.689	 3.705317e-75	0	APOE
GAPDH	 1.686391e-79	 0.3964602	0.999	0.993	 3.740583e-75	0	GAPDH
MT1XP1	 3.538364e-69	 0.4583848	0.606	0.360	 7.848445e-65	0	MT1XP1
SEC61G	 4.765154e-54	 0.3427288	1.000	0.983	 1.056959e-49	0	SEC61G
MT1X	 5.324940e-49	 0.5673810	0.843	0.711	 1.181125e-44	0	MT1X
TMSB4X	 1.317093e-47	 0.3230855	1.000	0.994	 2.921444e-43	0	TMSB4X
NDUFA4	 1.465960e-46	 0.2935853	0.995	0.953	 3.251646e-42	0	NDUFA4
PPIA	 9.199256e-46	 0.2838372	1.000	0.972	 2.040487e-41	0	PPIA
ZYX	 6.301658e-44	 0.3128414	0.638	0.439	 1.397771e-39	0	ZYX
POSTN	 7.024006e-38	 0.2694863	0.399	0.200	 1.557995e-33	0	POSTN
SRI	 1.562873e-37	 0.2855880	0.879	0.750	 3.466609e-33	0	SRI
IGFBP7	 6.321484e-36	-0.8915399	0.156	0.310	 1.402168e-31	0	IGFBP7
MT1G	 7.323210e-36	 0.4691401	0.514	0.337	 1.624361e-31	0	MT1G
CALM1	 2.774098e-35	 0.2566934	0.939	0.888	 6.153226e-31	0	CALM1
CKB	 1.146408e-33	 0.2706068	0.934	0.824	 2.542847e-29	0	CKB
TIMP2	 1.449923e-32	-0.3860338	0.311	0.497	 3.216073e-28	0	TIMP2
GFAP	 1.742431e-32	-0.9418187	0.198	0.325	 3.864887e-28	0	GFAP
ATP1A2	 5.752232e-32	-0.4646288	0.126	0.291	 1.275902e-27	0	ATP1A2
COX7C	 1.547025e-31	 0.2522797	0.954	0.899	 3.431456e-27	0	COX7C
HOPX	 1.551271e-31	 0.3080334	0.640	0.432	 3.440874e-27	0	HOPX
ID3	 4.088103e-31	-0.2577677	0.014	0.117	 9.067822e-27	0	ID3
UQCR10	 8.440980e-31	 0.2674448	0.818	0.692	 1.872294e-26	0	UQCR10
RP11-270C12.3	 5.252688e-25	 0.2520216	0.810	0.667	 1.165099e-20	0	RP11-270C12.3
FABP5	 6.305693e-25	 0.3115920	0.619	0.434	 1.398666e-20	0	FABP5
POLR2L	 6.817884e-25	 0.2506107	0.704	0.557	 1.512275e-20	0	POLR2L
FTL	 5.334947e-24	-0.4264084	0.813	0.859	 1.183344e-19	0	FTL
JUN	 1.350499e-23	-0.4131922	0.325	0.474	 2.995542e-19	0	JUN
AQP4	 1.464354e-23	-0.3235121	0.218	0.354	 3.248085e-19	0	AQP4
PSAP	 4.874561e-22	-0.2912327	0.248	0.419	 1.081226e-17	0	PSAP
SPARC	 1.718502e-20	-0.5044283	0.841	0.832	 3.811809e-16	0	SPARC
BCAN	 3.535161e-20	-0.3677924	0.376	0.482	 7.841341e-16	0	BCAN
FN1	 9.175758e-20	-0.4962082	0.037	0.115	 2.035275e-15	0	FN1
HLA-E	 5.824577e-19	-0.2599622	0.224	0.343	 1.291949e-14	0	HLA-E
FOS	 3.456351e-18	-0.4429127	0.654	0.703	 7.666532e-14	0	FOS
VOPP1	 2.385887e-17	-0.2796438	0.725	0.807	 5.292137e-13	0	VOPP1
A2M	 1.631431e-16	-0.4323592	0.085	0.159	 3.618678e-12	0	A2M
ZFP36	 7.479695e-16	-0.2612343	0.097	0.186	 1.659071e-11	0	ZFP36
COL4A1	 8.591356e-16	-0.3846411	0.084	0.131	 1.905649e-11	0	COL4A1
CHI3L1	 1.255575e-15	-0.5650418	0.195	0.261	 2.784990e-11	0	CHI3L1
MALAT1	 7.575622e-14	-0.7172976	0.386	0.497	 1.680349e-09	0	MALAT1
COL4A2	 1.176311e-13	-0.2506274	0.059	0.121	 2.609175e-09	0	COL4A2
CLU	 1.132138e-12	-0.2885406	0.896	0.861	 2.511195e-08	0	CLU
CRYAB	 7.185616e-12	-0.2836349	0.535	0.576	 1.593842e-07	0	CRYAB
EGR1	 5.332130e-11	-0.3443175	0.417	0.454	 1.182720e-06	0	EGR1
HSPA1A	 1.845027e-07	-0.2885977	0.509	0.558	 4.092454e-03	0	HSPA1A
HSPA1B	 7.387604e-07	-0.2638351	0.400	0.461	 1.638644e-02	0	HSPA1B
MT-ND2	 5.547247e-05	-0.3911585	0.204	0.400	 1.000000e+00	0	MT-ND2
MT-ND3	 1.254910e-04	-0.3129271	0.198	0.364	 1.000000e+00	0	MT-ND3
MT-ATP6	 4.204697e-03	-0.3796594	0.223	0.404	 1.000000e+00	0	MT-ATP6
APOE.1	 0.000000e+00	 1.7109705	0.997	0.624	 0.000000e+00	1	APOE
GFAP.1	8.181870e-237	 1.4586971	0.789	0.241	1.814821e-232	1	GFAP
CLU.1	2.252621e-224	 0.8865325	0.992	0.849	4.996538e-220	1	CLU
AQP4.1	4.861873e-188	 0.8299754	0.727	0.281	1.078412e-183	1	AQP4
NMB	2.835306e-141	 0.8269899	0.651	0.260	6.288993e-137	1	NMB
CPE	 1.259849e-97	 0.5220940	0.880	0.614	 2.794472e-93	1	CPE
BCAN.1	 3.834614e-91	 0.6311838	0.740	0.430	 8.505558e-87	1	BCAN
CRYAB.1	 3.430335e-81	 0.6230854	0.830	0.535	 7.608826e-77	1	CRYAB
GAPDH.1	 1.624180e-79	-0.5143169	0.986	0.995	 3.602593e-75	1	GAPDH
TTYH1	 5.963217e-74	 0.4549567	0.617	0.336	 1.322701e-69	1	TTYH1
TMSB4X.1	 2.894230e-65	-0.4519929	0.986	0.996	 6.419691e-61	1	TMSB4X
