	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
THBS1	6.279301e-102	 1.5934309	0.971	0.376	 1.161608e-97	0	THBS1
SDS	 2.063598e-80	 1.0931477	0.688	0.062	 3.817449e-76	0	SDS
STAB1	 2.982511e-65	 1.0361809	0.925	0.302	 5.517347e-61	0	STAB1
ATP1B3	 4.170067e-64	 1.1096809	0.890	0.344	 7.714207e-60	0	ATP1B3
CTSB	 7.799936e-64	 0.9885061	0.994	0.756	 1.442910e-59	0	CTSB
PSAP	 2.422111e-59	 0.9269444	0.994	0.732	 4.480664e-55	0	PSAP
C5AR1	 1.806726e-58	 0.9454845	0.844	0.243	 3.342263e-54	0	C5AR1
CD163	 1.402819e-57	 0.9828391	0.908	0.324	 2.595075e-53	0	CD163
C1QB	 2.834250e-57	 0.9688687	0.983	0.464	 5.243079e-53	0	C1QB
C1QA	 5.415140e-57	 0.8740029	0.936	0.325	 1.001747e-52	0	C1QA
PLAUR	 5.860149e-54	 0.9578514	0.809	0.226	 1.084069e-49	0	PLAUR
HLA-DRA	 1.285936e-53	 0.9892396	0.988	0.722	 2.378853e-49	0	HLA-DRA
SRGN	 2.609308e-53	 0.8453712	0.994	0.578	 4.826959e-49	0	SRGN
THBD	 5.394972e-53	 0.9088399	0.671	0.143	 9.980159e-49	0	THBD
TYMP	 1.056156e-51	 0.7980121	0.884	0.317	 1.953783e-47	0	TYMP
LAPTM5	 1.678087e-50	 0.7762764	0.960	0.434	 3.104293e-46	0	LAPTM5
LYZ	 1.699776e-50	 0.5993235	0.815	0.228	 3.144416e-46	0	LYZ
FTL	 5.359008e-50	 0.8816867	1.000	0.976	 9.913630e-46	0	FTL
GPR183	 1.460049e-46	 0.8847108	0.780	0.251	 2.700945e-42	0	GPR183
C1QC	 5.411120e-45	 0.7629925	0.809	0.251	 1.001003e-40	0	C1QC
FCER1G	 7.006872e-45	 0.7251765	0.867	0.324	 1.296201e-40	0	FCER1G
GRN	 3.910044e-44	 0.7808761	0.786	0.307	 7.233191e-40	0	GRN
TGFBI	 1.248544e-43	 0.8474287	0.780	0.256	 2.309681e-39	0	TGFBI
CTSL	 6.105359e-41	 0.8449850	0.780	0.267	 1.129430e-36	0	CTSL
CEBPB	 2.011358e-37	 0.7376743	0.798	0.369	 3.720812e-33	0	CEBPB
CD74	 2.709027e-37	 0.7683742	0.994	0.757	 5.011429e-33	0	CD74
HLA-DRB1	 5.461899e-37	 0.7825228	0.931	0.584	 1.010397e-32	0	HLA-DRB1
SLC16A10	 1.076771e-36	 0.5886027	0.624	0.159	 1.991919e-32	0	SLC16A10
FGL2	 2.679703e-36	 0.6001930	0.532	0.101	 4.957183e-32	0	FGL2
SGK1	 2.323035e-35	 0.6891947	0.855	0.372	 4.297382e-31	0	SGK1
MGAT1	 3.011850e-33	 0.5854015	0.705	0.238	 5.571622e-29	0	MGAT1
TYROBP	 5.570416e-33	 0.6228115	0.821	0.346	 1.030471e-28	0	TYROBP
CD68	 7.428710e-33	 0.5886909	0.665	0.214	 1.374237e-28	0	CD68
CLU	 3.302371e-32	-1.9614398	0.543	0.771	 6.109056e-28	0	CLU
OLR1	 4.322191e-32	 0.6763348	0.705	0.241	 7.995621e-28	0	OLR1
HLA-DPB1	 6.065024e-32	 0.7214841	0.809	0.365	 1.121969e-27	0	HLA-DPB1
TNFRSF1B	 9.072144e-32	 0.5329320	0.699	0.232	 1.678256e-27	0	TNFRSF1B
